Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: اختر التفسير الثقافي الصحيح للعبارة 'أبك أنت علامك'.
السؤال: لماذا يُستخدم تعبير 'أبك أنت علامك' في الثقافة السعودية؟
الخيارات:
أ) لأنه يعبر عن الاهتمام والقلق
ب) لأنه يستخدم في المناسبات الاجتماعية
ج) لأنه تعبير شائع في الشعر العربي
د) لأنه تعبير يستخدم للسخرية",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: فسر العبارة في سياق ثقافي.
السؤال: ماذا تعني عبارة 'أصبح عادي عندك تبعد وتغيب' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن تقبل الفراق
ب) تدل على عدم الاهتمام
ج) تشير إلى مضيعة الوقت
د) تعني الرغبة في اللقاء",أ
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: اشرح الفهم الثقافي للعبارة.
السؤال: ما هو التفسير الثقافي لعبارة 'الله يطعني' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن عدم الاكتراث
ب) دعاء للتمني بالتحسن للأحبة
ج) تعبير عن الوحدة
د) دعاء بالصبر",ب
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اختر الجواب الذي يصف معنى العبارة في السياق الثقافي السعودي.
السؤال: كيف تعكس عبارة 'أخْذِني موتك' الثقافة السعودية في التعبير عن الحب والتضحية؟
الخيارات:
أ) تعبر عن التعاطف
ب) تشير إلى قوة الحب والتضحية
ج) تبرز المواطنة
د) تشير إلى مساعدة الآخرين",ب
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: اشرح بوضوح ما تعبر عنه العبارة.
السؤال: لماذا تُستخدم عبارة ""الشاهي دبس"" في الثقافة السعودية؟
الخيارات:
أ) للدلالة على أن الشاهي سكره مبالغ فيه
ب) لأنها تعبير شعري قديم
ج) للتعبير عن الامتعاض من قلة السكر
د) لأنها تُستخدم في المناسبات الرسمية",أ
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: فسر العبارة من الناحية الثقافية.
السؤال: ما الذي يدل عليه استخدام عبارة 'أبو أربع عيون' في ثقافة المجتمع السعودي؟
الخيارات:
أ) احترام ذوي الفئات المختلفة
ب) الإشارة إلى المعرفة والفهم
ج) التقدير للأشخاص الذين يحتاجون إلى مساعدة في الرؤية
د) الإشارة إلى شخص حكيم في أسرته
الإجابة الصحيحة:",
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: اختيار التفسير الصحيح للعبارة في الثقافة السعودية.
السؤال: لماذا تستخدم عبارة 'جاب العيد' في الثقافة السعودية؟
الخيارات:
أ) للدلالة على الفرح
ب) للدلالة على الفشل
ج) للدلالة على النجاح
د) للدلالة على الاحتفال",ب
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: فسر الثقافة المرتبطة بعبارة 'دبلت تسبدي'.
السؤال: ماذا تعكس عبارة 'دبلت تسبدي' عن الثقافة السعودية؟
الخيارات:
أ) الاحترام المتبادل
ب) عدم الاهتمام
ج) قوة التعبير عن المشاعر
د) الرغبة في الحفاظ على المسافة",د
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: اشرح العبارة 'وش نوحك' في سياق الثقافة السعودية.
السؤال: كيف تعكس عبارة 'وش نوحك' الثقافة السعودية؟
الخيارات:
أ) تعبر عن الاهتمام والحنان
ب) تدل على عدم الاحترام
ج) تشير إلى الأسلوب الرسمي
د) تعني الإهمال",أ
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: حدد ما هو التفسير الثقافي للعبارة.
السؤال: ما هي الدلالة الثقافية للعبارة 'أبو كلب' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الإيجابية.
ب) تستخدم للازدراء والسخرية.
ج) تشير إلى جودة العمل.
د) تعبر عن الفرح.",ب
