Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: حدد الموقع الأكثر استخدامًا لعبارة 'أبك أنت علامك'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أبك أنت علامك' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: حدد الموقع الذي يستخدم فيه هذا المصطلح بشكل رئيسي.
السؤال: في أي منطقة سعودية يمكن أن يُستخدم المصطلح 'أوريك دروبك' بشكل أكثر شيوعاً؟
الخيارات:
أ) الأحساء
ب) الدمام
ج) أبها
د) القصيم",أ
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: حدد الدولة التي تستخدم فيها العبارة بشكل رئيسي.
السؤال: أي دولة تستخدم المصطلح 'الله يطعني' بشكل رئيسي؟
الخيارات:
أ) أبها
ب) جدة
ج) مكة
د) الرياض",أ
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اختر المنطقة الأكثر شيوعاً لاستخدام العبارة 'أخْذِني موتك'.
السؤال: في أي منطقة سعودية تُستخدم العبارة 'أخْذِني موتك' بشكل شائع؟
الخيارات:
أ) الشرق
ب) الغرب
ج) الجنوب
د) الوسطى",ج
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'الشاهي دبس' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'الشاهي دبس' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",ج
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: حدد المنطقة التي يرتبط بها استخدام المصطلح.
السؤال: في أي دولة يُستخدم مصطلح 'أبو أربع عيون' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: تحديد المنطقة التي تكون فيها العبارة أكثر شيوعاً.
السؤال: في أي دولة تُستخدم العبارة 'جاب العيد' بشكل أكثر شيوعاً؟
الخيارات:
أ) البحرين  
ب) الكويت
ج) الإمارات
د) المملكة العربية السعودية",د
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام 'دبلت تسبدي'.
السؤال: في أي منطقة في السعودية يُستخدم المصطلح 'دبلت تسبدي' بشكل شائع؟
الخيارات:
أ) الجوف
ب) جدة
ج) حائل
د) المدينة المنورة",أ
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام عبارة 'وش نوحك'.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'وش نوحك' بشكل شائع؟
الخيارات:
أ) الشمال
ب) الوسطى
ج) الجنوب
د) الغرب",أ
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: حدد أين يُستخدم المصطلح 'أبو كلب' بشكل شائع.
السؤال: في أي منطقة سعودية يتم استخدام المصطلح 'أبو كلب' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) الدمام",ب
