Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: اختر المعنى الصحيح لعبارة 'أبك أنت علامك'.
السؤال: ماذا تعني عبارة 'أبك أنت علامك'؟
الخيارات:
أ) ماذا دهاك؟
ب) هل أنت بخير؟
ج) ماذا تريد؟
د) لماذا تتأخر؟",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى 'أصبح عادي عندك تبعد وتغيب'؟
الخيارات:
أ) أصبح الوضع عادياً بالنسبة لك عندما تبتعد وتغيب
ب) أصبح صعباً عليك الابتعاد
ج) مطلوب منك أن تبقى قريباً
د) لا يهم الابتعاد",أ
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'الله يطعني'.
السؤال: ما المعنى المقصود بعبارة 'الله يطعني'؟
الخيارات:
أ) دعاء على النفس بالموت بدلاً من الآخرين
ب) تعبير عن الفرح والحب
ج) تمني الصحة للآخرين
د) دعاء للرزق",أ
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اختر الترجمة الأقرب لعبارة 'أخْذِني موتك'.
السؤال: ما هو المعنى الأقرب لعبارة 'أخْذِني موتك'؟
الخيارات:
أ) متُّ فداك
ب) أنا أحتاجك
ج) أنا أراك
د) أحبك جداً",أ
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: حدد المعنى الصحيح للعبارة 
السؤال: ماذا تعني عبارة ""الشاهي دبس"" في اللهجة العامية؟
الخيارات:
أ) الشاي مالح
ب) الشاي مر
ج) الشاي بدون سكر
د) الشاي يحتوي على سكر كثير",د
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: حدد المعنى الصحيح للعبارة 'أبو أربع عيون'.
السؤال: ماذا تعني عبارة 'أبو أربع عيون' في اللهجة السعودية؟
الخيارات:
أ) شخص يرتدي نظارات طبية
ب) شخص لديه قدرة على الرؤية عن كثب
ج) شخص يحب التحديق في الآخرين
د) شخص يتحدث كثيرًا",أ
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: اختيار المعنى الصحيح لعبارة 'جاب العيد'.
السؤال: ما هو المعنى الصحيح لعبارة 'جاب العيد'؟
الخيارات:
أ) نجح في تحقيق شيء
ب) تسبب في مشكلة
ج) احتفل بعيد
د) شعر بالسعادة",ب
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: حدد معنى الجملة 'دبلت تسبدي'.
السؤال: ماذا تعني الجملة 'دبلت تسبدي'؟
الخيارات:
أ) اترك لي المكان
ب) أريد الحديث إليك
ج) أنا سعيد بلقائك
د) لا تعبس في وجهي",أ
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: حدد المعنى الصحيح لعبارة 'وش نوحك'.
السؤال: ما معنى عبارة 'وش نوحك' في اللهجة السعودية؟
الخيارات:
أ) ماذا بك؟
ب) كيف حالك؟
ج) إلى أين تذهب؟
د) ما اسمك؟",أ
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: حدد المعنى الصحيح للعبارة 'أبو كلب'.
السؤال: ماذا تعني العبارة 'أبو كلب'؟
الخيارات:
أ) شيء ذو جودة عالية
ب) صفة تطلق على الشيء رديء الصنع
ج) عمل ممتاز
د) وصف لشيء جميل",ب
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: حدد المعنى الصحيح للعبارة .
السؤال: ماذا تعني عبارة ""خاوره عليك"" في اللهجة العامية؟
الخيارات:
أ) خائفة منك
ب) فخورة بك
ج) زعلانة منك
د) مشتاقة لك",ج
