Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'أبك أنت علامك' تعني 'ما الذي حدث لك؟'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أصبح عادي عندك تبعد وتغيب' تعني أن الابتعاد أصبح غير مهم بالنسبة لك.
الخيارات:
أ) صحيح
ب) خاطئ",أ
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'الله يطعني' تستخدم للتعبير عن الحب والفقد.
الخيارات:
أ) صحيح
ب) خطأ",أ
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'أخْذِني موتك' تعني 'أود أن أموت من أجلك'.
الخيارات:
أ) صحيح
ب) خطأ",أ
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة ""الشاهي دبس"" تعني أن الشاي فيه سكر كثير.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: قم بتحديد صحة العبارة التالية.
السؤال: العبارة 'أبو أربع عيون' تستخدم لوصف شخص بدون نظارات طبية.
الخيارات:
أ) صحيح
ب) خطأ",ب
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'جاب العيد' تعني 'أحدث مشكلة أو كارثة' بشكل صحيح.
الخيارات:
أ) صحيح
ب) خطأ",أ
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'دبلت تسبدي' تُستخدم للتعبير عن الشكر والامتنان.
الخيارات:
أ) صحيح
ب) خطأ",ب
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: 'وش نوحك' تعني كيف حالك.
السؤال: هل العبارة التالية صحيحة: 'وش نوحك' تعني ماذا بك؟
الخيارات:
أ) صحيح
ب) خاطئ",أ
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أبو كلب' تُستخدم دائماً لوصف الأشياء الجيدة.
الخيارات:
أ) صحيح
ب) خطأ",ب
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""خاوره عليك"" تُقال للدلالة على الفرح بشخص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اندر بره,اخرج,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (اندر بره) تُستخدم غالبًا بأسلوب لطيف وودّي.
الخيارات:
أ) صحيح
ب) خاطئ",ب
