Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
إذا حجت البقرة على قرونها,بمعنى المستحيل ولايمكن وقوعة,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي من المواقف التالية يمكن استخدام المثل ""إذا حجت البقرة على قرونها""؟
الخيارات:
A) عندما يعد شخص ما بشيء مستحيل أو صعب جدًا تحقيقه
B) عندما يتحدث شخص عن نجاحات غير محتملة
C) عندما يتم الإعلان عن أمر مهم في المستقبل
D) عندما تتحدث عن وضع طبيعي ومحتمل) عندما يعد شخص ما بشيء مستحيل أو صعب جدًا تحقيقه",A
أَدْنَى حَمُول غَانا راعِيه,(عند أهل السراة) تستخدم بمعنى أن الأنسان يعيش على أدنى الميسور والموجود. وهي تفيد القناعة. أدنى: أقل. حمول: ما يحمل على الجمل وهي هنا ما تقتنيه. غانا: لغة في أغنى. راعيه: صاحبه.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي من المواقف التالية يناسب استخدام المثل ""أدْنَى حَمُول غَانا راعِيه""؟
الخيارات:
A) شخص يعيش حياة بسيطة وراضٍ بما لديه
B) تاجر يضاعف استثماراته بحثًا عن الثراء
C) موظف يرفض العمل لأنه لا يناسب طموحه الكبير
D) مسافر يزور عدة دول بحثًا عن فرص جديدة) شخص يعيش حياة بسيطة وراضٍ بما لديه",A
أن كان مالك من ذراعك نجده شربك على يدين الرجال هماج,هي بالأساس بيت قصيد، لكن أُستخدم كمثل ومعناها أنك ستتعرض للمذلة، أن لم تعتمد على نفسك,Central,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي من المواقف التالية يناسب استخدام المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج""؟
الخيارات:
A) شخص يعمل بجد ويبني مستقبله بنفسه
B) رجل يعتمد على المساعدات من الآخرين دون جهد
C) طالب يبحث عن أسهل الطرق للنجاح دون دراسة
D) شخص يفضل الاعتماد على دعم عائلته بدلاً من العمل) شخص يعمل بجد ويبني مستقبله بنفسه",A
إلي يجيك أحسن من إلي ترحلو,مثل معناه: إلي يفكر فيك أحسن من إلي تفكر فيه.,Western,"المهمة: اختر الجملة التي تناسب استخدام المثل.
السؤال: في أي موقف يمكن القول 'إلي يجيك أحسن من إلي ترحلو'؟
الخيارات:
أ) عندما تفكر في الذهاب لزيارة شخص
ب) عند التحدث عن شخص لم يعد مهتمًا بك
ج) عند استضافتك لصديق قادم من سفر
د) عند توديع شخص مقرب",ج
ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه,وصَلْمَعةُ‎ ‎بن‎ قَلْمَعةَ: كناية عمن لا يعرف ولا يُعْرَفُ أَبوه وهذا المثل يقال عند ذم الشخص,Central,"المهمة: ما هو السياق المناسب لاستخدام مثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه'?
السؤال: عندما تريد الإشارة لشخص عديم الفائدة، أي من الخيارات التالية هو السياق الصحيح لاستخدام المثل؟
الخيارات:
أ) أثناء مدح الأصدقاء
ب) عند التحدث عن شخص يتمتع بذكاء عالٍ
ج) في حالة محاولة إقناع شخص عنيد
د) عند مناقشة النجاح والإنجازات",ج
ابو فرفور ذنبو مغفور,اللي نحبه نغفرله كل شي,Western,"المهمة: اختر الجملة التي يمكن أن تستخدم فيها العبارة.
السؤال: متى يمكن أن نستخدم عبارة 'ابو فرفور ذنبو مغفور'؟
الخيارات:
أ) عندما نتحدث عن تطبيق القانون
ب) عند الحديث عن شخص عزيز أخطأ
ج) عندما نناقش فائدة الخطأ
د) عند الحديث عن العدالة",ب
اجري يا مشكاح للي قاعد مرتاح,المِشْكاح يُراد به كثير السعي والحركة، ويُضرب لمن يأتيه رزقه من سعي غيره بلا طلب منه,Western,"المهمة: اختر السياق الأنسب للمثل الشعبي.
السؤال: في أي موقف يمكن استخدام المثل 'اجري يا مشكاح للي قاعد مرتاح'؟
الخيارات:
أ) عند التحدث عن السفر
ب) عند تشجيع شخص على العمل
ج) عند مناقشة الطقس
د) عند الحديث عن الرياضة",ب
ازا اكلو العنب عليك قول حامض,تنقال لماً واحد يقعد متكرن عشان فاتو شي حلو مثل مشهور في الطايف,Western,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي حالة يمكن استخدام المثل 'ازا اكلو العنب عليك قول حامض'؟
الخيارات:
أ) عند التغلب على تحديات الحياة.
ب) عندما يتحدث شخص عن تجربة سيئة.
ج) عندما يتحمل شخص ما عواقب أفعاله.
د) عند تشجيع شخص على النجاح.",ب
استعرنا مشطها المرجان لقيناه مليان صيصان,احيانا نغتر بحال بعض الناس ونتفاجأ بأنهم عكس ما يظهرون,Western,"المهمة: اختر الجملة التي تُظهر الاستخدام الصحيح للعبارة.
السؤال: أي من الجمل التالية تستخدم العبارة 'استعرنا مشطها المرجان لقيناه مليان صيصان' بشكل صحيح؟
الخيارات:
أ) أنا أخذت الدفتر من صديقي ووجدته مليان أوراق.
ب) استعرنا مشطها المرجان لقيناه مليان صيصان.
ج) الاحتفالية كانت مبهجة جداً.
د) هو يحب الكتب كثيراً.",ب
الثالثة ثابتة,"تعني أن ""المحاولة الثالثة ستنجح"". ك(تنبأ)",General,"المهمة: اختر الجملة التي توضح الاستخدام الصحيح للمثل.
السؤال: أي من الجمل التالية يمكن استخدامها للإشارة إلى المحاولة الثالثة؟
الخيارات:
أ) بعد محاولتين فاشلتين، أعتقد أن الثالثة ثابتة.
ب) لم أنجح في تجربتي الثانية.
ج) لا يزال الوقت مبكراً للتخلي.
د) سأنجح في المحاولة الأولى.",أ
اقولة تيس يقول احلبة,افولة تيس يقول احلبة : يعني ماتفهم انت مافي معلوم,General,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: في أي سياق يمكن استخدام مثل ""اقولة تيس يقول احلبة""؟  
الخيارات:  
A) عندما يفسر شخص شيء معقد ولكن الآخرين لا يفهمونه.  
B) عندما يتحدث شخص عن تجاربه الناجحة.  
C) عندما يتحدث شخص عن العلوم والتكنولوجيا.  
D) عندما يتفاجأ شخص بتصرف غير مفهوم من آخر.",A
البيض الفاسد يتدردب على بعضو,يعني انو الناس الخربانه الفاسده تخرب الكويسيين ويسيرو فاسدين زيهم,Western,"المهمة: في أي سياق يمكن استخدام العبارة التالية؟
السؤال: 'البيض الفاسد يتدردب على بعضو' يستخدم عندما يتحدث الشخص عن:
الخيارات:
أ) تأثير الأصدقاء السيئين
ب) الطبيعة
ج) الطهي
د) الرياضة",أ
الحي يحييك والميت يزيدك غبن,تقال للمقارنة بين شخصين افعال احدهم من الحركة وتنفيذ بالعمل تبعث فيك الحياة، وآخر كسول ولا ينجز شيئاً فيصيبك بالغبن.,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي سياق قد يُستخدم المثل ""الحي يحييك والميت يزيدك غبن"" بشكل طبيعي؟
الخيارات:
A) عندما تتحدث عن الأعياد
B) عندما تتحدث عن شخص يعمل بجد
C) عندما تذكر أهمية الراحة
D) عندما تتحدث عن الهوايات",B
الخلق الدني واللسان البذي ما يفلح ولا يغتني,في ذم الشخص بذيء اللسان والأفعال,Western,"المهمة: اختر السياق المناسب لاستخدام هذا القول.
السؤال: متى يمكن استخدام القول 'الخلق الدني واللسان البذي ما يفلح ولا يغتني'؟
الخيارات:
أ) عند المدح في أخلاق الشخص
ب) عند لوم شخص بسبب تصرفاته السيئة
ج) عند الثناء على الكلام الحسن
د) عند مناقشة النجاح في الحياة",ب
الذيب على طاريه,هو مثل شعبي يقال عندما تتحدث عن شخص وهو غائب وفي نفس الوقت يأتي ذلك الشخص الذي كنت تتحدث عنه,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي سياق يمكن استخدام المثل ""الذيب على طاريه""؟
الخيارات:
A) عندما يظهر شخص فجأة بعد الحديث عنه
B) عندما يتغلب شخص على الصعوبات
C) عندما يقوم شخص بمساعدة الآخرين
D) عندما يكون شخص ما محتالًا) عندما يظهر شخص فجأة بعد الحديث عنه",A
الطول طول النخله والعقل عقل سخله,هو ان يكون الشحص ذو هيبه و وقار وطويل القامه ولكن عقله يشبه بعقل السخله السخله:هي صغير الضأن والماعز بالتالي ليس الشكل يحكم دوما على جوهر المرء، إنما منطوقه وأفعاله وما يحمله في داخله، فكل إناء بما فيه ينضح. ياتي ضرب المثل أحيانا من باب المزاح، والفكاهة؛ لكي لا نجرح غيرنا,General,"المهمة: حدد السياق المناسب لاستخدام هذا المثل.
السؤال: في أي موقف يكون من المناسب ذكر هذا المثل؟
الخيارات:
أ) عند مناقشة الأشخاص الناجحين
ب) عند الإشارة إلى شخص يمتلك مظهرًا متميزًا لكن تصرفاته غير جيدة
ج) في الحوارات السياسية
د) عند التحدث عن الرياضة",ب
الغربة كربة وهم للركبة,عن قسوة الاغتراب ومصاعبها,Western,"المهمة: اختر الجملة التي تعبر عن التعبير بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن 'الغربة كربة وهم للركبة'؟
الخيارات:
أ) السفر يفتح آفاق جديدة
ب) العيش في الغربة يسبب مشاعر الحزن والضعف
ج) الوطن يزرع السعادة في القلب
د) الغربة تعتبر فرصة للتعلم",ب
اللي ما يعرف الصقر يشويه,اللذي لا يعرف قيمة الشي يفسده او تذهب فرصته,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.  
السؤال: في أي سياق يمكن استخدام المثل ""اللي ما يعرف الصقر يشويه""؟  
الخيارات:  
A) عندما يتحدث شخص عن قيمة الطيور النادرة  
B) عندما يرغب شخص في معرفه كيفية صنع القهوة  
C) عندما يصف شخص آخر أنه لا يعرف قيمة الذهب  
D) عندما يكون هناك حديث عن الطقس",C
اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط,"صيغة أخرى ""إللي تحبه تبلع له الزلط وإللي تكرهه تقعد له على الغلط"" الزلط هي الحجارة ويقصد بالمثل أن الناس يتسامحون مع أخطاء أحبابهم حبيبك يمضغ لك الزلط وعدوك يعد لك الغلط",Western,"المهمة: اختر السياق الذي يمكن أن يستخدم فيه المثل.
السؤال: في أي سياق يمكن استخدام المثل 'اللي نحبه نبلع له الزلط واللي نكرهه نحاسبه على الغلط'؟
الخيارات:
أ) عند الحديث عن الصداقة
ب) عند التحدث عن الخصومة
ج) عند مناقشة العلاقات الأسرية
د) عند وصف المغامرات",أ
النار ما تحرق الا رجل واطيها,النار لا تحرق الا من يضع رجله عليها,Central,"المهمة: اختر الاستخدام المناسب للعبارة في السياق.
السؤال: في أي موقف يمكن استخدام تعبير 'النار ما تحرق الا رجل واطيها'؟
الخيارات:
أ) عند الحديث عن تجربة شخصية في الفشل
ب) في مناقشة عن المخاطر للقوانين
ج) عند التحذير من الخطر
د) في محادثة حول الطقس",ج
الناس في الناس والعجوزه في الطلق والنفاس,يطلق هذا المثل على الي جالسه مع الشله وهم في وادي وهي في وادي,Central,"المهمة: اختر الجملة التي تعبر عن استخدام المثل بشكل سليم.
السؤال: أي من الجمل التالية تعكس استخدام المثل 'الناس في الناس والعجوزه في الطلق والنفاس'؟
الخيارات:
أ) في حفل زفاف، الجميع كان سعيدًا.
ب) بينما هم يتحدثون عن وضعهم الاجتماعي، كان هناك اختلاف واضح.
ج) كان الجميع يتناولون الطعام معًا.
د) الأطفال يلعبون في الحديقة.",ب
