Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
إذا حجت البقرة على قرونها,بمعنى المستحيل ولايمكن وقوعة,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""إذا حجت البقرة على قرونها""؟
الخيارات:
A) التأكيد على إمكانية تحقيق الأمور الصعبة
B) رفض فكرة حدوث أمر مستحيل
C) تقدير الجهود المبذولة لتحقيق الهدف
D) تشجيع الآخرين على التفكير في المستحيل) رفض فكرة حدوث أمر مستحيل",B
أَدْنَى حَمُول غَانا راعِيه,(عند أهل السراة) تستخدم بمعنى أن الأنسان يعيش على أدنى الميسور والموجود. وهي تفيد القناعة. أدنى: أقل. حمول: ما يحمل على الجمل وهي هنا ما تقتنيه. غانا: لغة في أغنى. راعيه: صاحبه.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""أدْنَى حَمُول غَانا راعِيه""؟
الخيارات:
A) القناعة والرضا تجعل الإنسان غنيًا
B) الطموح العالي هو السبيل الوحيد للنجاح
C) كثرة المال تضمن السعادة والاستقرار
D) التنقل والترحال يساعدان في تحقيق الثروة) القناعة والرضا تجعل الإنسان غنيًا",A
أن كان مالك من ذراعك نجده شربك على يدين الرجال هماج,هي بالأساس بيت قصيد، لكن أُستخدم كمثل ومعناها أنك ستتعرض للمذلة، أن لم تعتمد على نفسك,Central,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج""؟
الخيارات:
A) العمل الجاد والاعتماد على النفس هما مفتاح النجاح
B) التعاون مع الآخرين أفضل من العمل الفردي
C) كثرة المال تضمن السعادة والاستقرار
D) الرزق يأتي دون الحاجة إلى جهد) العمل الجاد والاعتماد على النفس هما مفتاح النجاح",A
إلي يجيك أحسن من إلي ترحلو,مثل معناه: إلي يفكر فيك أحسن من إلي تفكر فيه.,Western,"المهمة: وضح المعنى الثقافي للمثل.
السؤال: ماذا يعني المثل 'إلي يجيك أحسن من إلي ترحلو' في الثقافة السعودية؟
الخيارات:
أ) يفضل الناس من يزورهم على من يهجرهم
ب) تستمر العلاقات عبر المراسلة
ج) الصداقة ليست مهمة
د) الزيارة ليست ذات قيمة",أ
ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه,وصَلْمَعةُ‎ ‎بن‎ قَلْمَعةَ: كناية عمن لا يعرف ولا يُعْرَفُ أَبوه وهذا المثل يقال عند ذم الشخص,Central,"المهمة: فسر المعنى الثقافي لمثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه'.
السؤال: لماذا يُعتبر هذا المثل مهمًا في الثقافة السعودية؟
الخيارات:
أ) لأنه يدعو إلى التعلم والمثابرة
ب) لأنه ينبه لعدم الاعتماد على بعض الأشخاص
ج) لأنه يعترف بقدرات الآخرين
د) لأنه يعزز التواصل الاجتماعي",ب
ابو فرفور ذنبو مغفور,اللي نحبه نغفرله كل شي,Western,"المهمة: اشرح ما تعكسه هذه العبارة عن الثقافة السعودية.
السؤال: ماذا تعكس عبارة 'ابو فرفور ذنبو مغفور' عن العادات الاجتماعية في المجتمع السعودي؟
الخيارات:
أ) التشدد في العقوبات
ب) التسامح والمودة بين الأفراد
ج) أهمية القانون
د) دعم النجاح الفردي",ب
اجري يا مشكاح للي قاعد مرتاح,المِشْكاح يُراد به كثير السعي والحركة، ويُضرب لمن يأتيه رزقه من سعي غيره بلا طلب منه,Western,"المهمة: فسر الجانب الثقافي المرتبط بالمثل.
السؤال: ما الذي يعكسه المثل 'اجري يا مشكاح للي قاعد مرتاح' عن الثقافة السعودية؟
الخيارات:
أ) أهمية الراحة
ب) قيمة العمل والسعي
ج) التقدير للترفيه
د) تعزيز الاعتماد على الغير",ب
ازا اكلو العنب عليك قول حامض,تنقال لماً واحد يقعد متكرن عشان فاتو شي حلو مثل مشهور في الطايف,Western,"المهمة: وضح الفكرة الثقافية المتعلقة بالمثل.
السؤال: ما الفكرة الثقافية التي يعبر عنها المثل 'ازا اكلو العنب عليك قول حامض'؟
الخيارات:
أ) أهمية الصبر في مواجهة الصعوبات.
ب) ضرورة التعامل مع الإحباطات بنظرة إيجابية.
ج) قيمة الصراحة في العلاقات.
د) أهمية التواضع عند الفشل.",ب
استعرنا مشطها المرجان لقيناه مليان صيصان,احيانا نغتر بحال بعض الناس ونتفاجأ بأنهم عكس ما يظهرون,Western,"المهمة: تفسير المقولة في سياق ثقافي.
السؤال: ماذا تعكس المقولة 'استعرنا مشطها المرجان لقيناه مليان صيصان' عن ثقافة المجتمع السعودي؟
الخيارات:
أ) أهمية المظاهر
ب) الترابط بين الناس
ج) غطرسة البعض
د) حب السيطرة",ب
الثالثة ثابتة,"تعني أن ""المحاولة الثالثة ستنجح"". ك(تنبأ)",General,"المهمة: اختر الجواب الذي يوضّح التفسير الثقافي للمثل.
السؤال: ما الذي يعكسه مثل 'الثالثة ثابتة' في الثقافة السعودية؟
الخيارات:
أ) الإصرار على النجاح
ب) الخوف من الفشل
ج) الابتعاد عن المحاولة
د) الاعتماد على الحظ",أ
اقولة تيس يقول احلبة,افولة تيس يقول احلبة : يعني ماتفهم انت مافي معلوم,General,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
**السؤال: ما المعنى الثقافي لمثل ""اقولة تيس يقول احلبة""؟  
الخيارات:  
A) يدل على الافتخار بالمعلومات.  
B) يشير إلى عدم الفهم في بعض الأمور.  
C) يحث على العلم والمعرفة.  
D) يشجع على المشاركة بين الناس.",B
البيض الفاسد يتدردب على بعضو,يعني انو الناس الخربانه الفاسده تخرب الكويسيين ويسيرو فاسدين زيهم,Western,"المهمة: ما الذي يعكسه هذا المثل عن الثقافة السعودية؟
السؤال: 'البيض الفاسد يتدردب على بعضو' يعكس:
الخيارات:
أ) أهمية الصداقات الطيبة
ب) تشجيع الفوضى
ج) عدم اهتمام الناس
د) النجاح في العمل",أ
الحي يحييك والميت يزيدك غبن,تقال للمقارنة بين شخصين افعال احدهم من الحركة وتنفيذ بالعمل تبعث فيك الحياة، وآخر كسول ولا ينجز شيئاً فيصيبك بالغبن.,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: كيف يعكس المثل ""الحي يحييك والميت يزيدك غبن"" منظور الثقافة السعودية للحياة؟
الخيارات:
A) يؤكد على دور العائلة في اتخاذ القرارات
B) تأثير الأشخاص النشطين على من حولهم
C) يشير إلى أهمية الاستمتاع بالحياة دون عمل
D) يركز على أن الحظ هو العامل الأساسي للنجاح",B
الخلق الدني واللسان البذي ما يفلح ولا يغتني,في ذم الشخص بذيء اللسان والأفعال,Western,"المهمة: فسر المعنى الثقافي وراء هذا القول.
السؤال: ما هو التفسير الثقافي للقول 'الخلق الدني واللسان البذي ما يفلح ولا يغتني'؟
الخيارات:
أ) يشير إلى أن الأخلاق السيئة تؤدي للفشل
ب) يدل على قيمة المال في الحياة
ج) يبرز أهمية المعرفة
د) يشجع على التحصيل العلمي",أ
الذيب على طاريه,هو مثل شعبي يقال عندما تتحدث عن شخص وهو غائب وفي نفس الوقت يأتي ذلك الشخص الذي كنت تتحدث عنه,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الرمزية الثقافية للمثل ""الذيب على طاريه"" في المجتمع السعودي؟
الخيارات:
A) يعكس أهمية الذكاء والحذر في المجتمع
B) يعبر عن الاعتقاد بالحظ والمصادفة
C) يرمز إلى التعاون بين أفراد المجتمع
D) يدل على أهمية الالتزام بالعادات والتقاليد) يعبر عن الاعتقاد بالحظ والمصادفة",B
