Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
إذا حجت البقرة على قرونها,بمعنى المستحيل ولايمكن وقوعة,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي دولة يتم استخدام هذا المثل بشكل شائع؟
الخيارات:
أ) البحرين
ب) الكويت
ج) الإمارات
د)السعودية",د
أَدْنَى حَمُول غَانا راعِيه,(عند أهل السراة) تستخدم بمعنى أن الأنسان يعيش على أدنى الميسور والموجود. وهي تفيد القناعة. أدنى: أقل. حمول: ما يحمل على الجمل وهي هنا ما تقتنيه. غانا: لغة في أغنى. راعيه: صاحبه.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يستخدم هذا المثل ""أدْنَى حَمُول غَانا راعِيه"" بشكل شائع؟
الخيارات:
أ) نجد
ب) الحجاز
ج) عسير
د) المنطقة الشرقية",ج
أن كان مالك من ذراعك نجده شربك على يدين الرجال هماج,هي بالأساس بيت قصيد، لكن أُستخدم كمثل ومعناها أنك ستتعرض للمذلة، أن لم تعتمد على نفسك,Central,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يستخدم هذا المثل بشكل شائع؟
الخيارات:
أ) نجد
ب) الحجاز
ج) عسير
د) المنطقة الشرقية",أ
إلي يجيك أحسن من إلي ترحلو,مثل معناه: إلي يفكر فيك أحسن من إلي تفكر فيه.,Western,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'إلي يجيك أحسن من إلي ترحلو' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) مكة
ج) الدمام
د) جدة",د
ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه,وصَلْمَعةُ‎ ‎بن‎ قَلْمَعةَ: كناية عمن لا يعرف ولا يُعْرَفُ أَبوه وهذا المثل يقال عند ذم الشخص,Central,"المهمة: حدد الموقع الأكثر شيوعاً لاستخدام هذا المثل.
السؤال: أين يُستخدم مثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المنطقة الشرقية",أ
ابو فرفور ذنبو مغفور,اللي نحبه نغفرله كل شي,Western,"المهمة: حدد الموقع الذي يرتبط به استخدام العبارة.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'ابو فرفور ذنبو مغفور' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
اجري يا مشكاح للي قاعد مرتاح,المِشْكاح يُراد به كثير السعي والحركة، ويُضرب لمن يأتيه رزقه من سعي غيره بلا طلب منه,Western,"المهمة: حدد المكان الذي يُستخدم فيه هذا المثل بشكل رئيسي.
السؤال: في أي منطقة يُستخدم المثل 'اجري يا مشكاح للي قاعد مرتاح' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) تبوك",ب
ازا اكلو العنب عليك قول حامض,تنقال لماً واحد يقعد متكرن عشان فاتو شي حلو مثل مشهور في الطايف,Western,"المهمة: حدد المكان الأكثر ارتباطاً بالمثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'ازا اكلو العنب عليك قول حامض' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",ب
استعرنا مشطها المرجان لقيناه مليان صيصان,احيانا نغتر بحال بعض الناس ونتفاجأ بأنهم عكس ما يظهرون,Western,"المهمة: حدد المنطقة التي ترتبط بالعبارة.
السؤال: أين يُستخدم المصطلح 'استعرنا مشطها المرجان لقيناه مليان صيصان' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة",أ
الثالثة ثابتة,"تعني أن ""المحاولة الثالثة ستنجح"". ك(تنبأ)",General,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المثل بشكل شائع.
السؤال: أين يُستخدم المثل 'الثالثة ثابتة' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
