Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: وضح الميزة الثقافية المتعلقة بالكلمة.
السؤال: ما هي الميزة الثقافية لكلمة 'أبخص' في اللهجة الحجازية؟
الخيارات:
أ) تدل على الحكمة والمعلومات
ب) تدل على الجهل
ج) لا تحمل أي معنى ثقافي
د) تعني الكرم",أ
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: تحديد السياق الثقافي لكلمة 'أويلاوه'.
السؤال: ما هو التفسير الثقافي لكلمة 'أويلاوه'؟
الخيارات:
أ) تستخدم للإلحاح في الطلب بشكل لطيف
ب) تدل على الاستهزاء
ج) تعبر عن الشكر
د) تستخدم في حالات الفور",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: وضح لماذا تعد كلمة 'احتريك' شائعة في اللهجة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'احتريك' في اللهجة السعودية؟
الخيارات:
أ) تعبر عن الانتظار في ثقافة الكرم
ب) تعد هدية لأحد أصدقائك
ج) تشير إلى الخداع
د) تعني الإبداع",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: ماذا تعني كلمة 'هذره' في السياق الثقافي السعودي؟
السؤال: ما هو المعنى الثقافي لكلمة 'هذره' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الهدوء
ب) تشير إلى الروح الاجتماعية والمحادثات
ج) تعني الانعزالية
د) تمثل التنافس",ب
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: حدد أهمية كلمة 'ازهله' في الثقافة السعودية.
السؤال: كيف تعكس كلمة 'ازهله' القيم الاجتماعية في اللهجة السعودية؟
الخيارات:
أ) تعبر عن الرفض
ب) تشير إلى القبول والتعاون
ج) تدل على الاستهزاء
د) تعبر عن الملل",ب
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: فسر معنى كلمة 'أطقطق' في الثقافة السعودية.
السؤال: ما الذي تعبر عنه كلمة 'أطقطق' في الثقافة السعودية؟
الخيارات:
أ) الجد والاجتهاد
ب) المزاح والتسلية
ج) العزيمة والطموح
د) الكرم والإيثار",ب
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: اختر الخيار الذي يفسر الثقافة المرتبطة بكلمة 'أَبْرَقْ'.
السؤال: ما هو التفسير الثقافي لكلمة 'أَبْرَقْ' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الجمال
ب) لقب للأبطال
ج) إشارة إلى الكرم
د) وصف للذكاء",أ
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: حدد التفسير الثقافي لكلمة 'أبكّ'.
السؤال: ما هو السياق الثقافي لاستخدام كلمة 'أبكّ' في اللهجة النجدية؟
الخيارات:
أ) تستخدم عادة لجذب الانتباه
ب) للدلالة على الشجاعة
ج) تشير للتعاطف
د) تعبر عن الحزن",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: وضّح المعاني الثقافية لكلمة ""هيلمه"".
السؤال: ما الذي تعكسه كلمة ""هيلمه"" من ثقافة المجتمع الجنوبي؟
الخيارات:
أ) التهوين من الأمور
ب) المبالغة في وصف الأحداث
ج) الاحترام الرسمي
د) الغموض في الحديث",ب
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: اشرح معناها في السياق الثقافي.
السؤال: ماذا تعبر كلمة 'كفو' عن القيم الثقافية في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الانجاز والامتياز
ب) نعت سلبى
ج) تعبير عن الانتقاد
د) لا شيء مما سبق",أ
الشدوق,الخدود  من الطايف,Western,"المهمة: فسر أهمية كلمة 'الشدوق' في اللهجة الحجازية.
السؤال: لماذا تعتبر كلمة 'الشدوق' مهمة في الثقافة الحجازية؟
الخيارات:
أ) تعبر عن الجمال
ب) تعبر عن الحزن
ج) تعبر عن الفرح
د) تعبر عن القوة",أ
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: اختر التفسير الثقافي الصحيح لكلمة 'عفش'.
السؤال: ما هو التفسير الثقافي لكلمة 'عفش' في اللهجة الحجازية؟
الخيارات:
أ) يتعلق بأدوات الزراعة
ب) يشير إلى الأغراض المنزلية
ج) يعني الملابس فقط
د) يستخدم لوصف الطعام",ب
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: وصف ثقافي للكلمة.
السؤال: ما الذي يعبر عنه استخدام كلمة 'علاسب' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن سبب الفعل
ب) تفضيل
ج) تحديد مكان
د) تعبير عن زمان",أ
بَكّاش,كذاب,Western,"المهمة: وضح معنى كلمة 'بَكّاش' في السياق الثقافي المحلي.
السؤال: ما هي الدلالة الثقافية لكلمة 'بَكّاش' في اللهجة الحجازية؟
الخيارات:
أ) تشير إلى الكذب و الحيلة.
ب) تدل على الشجاعة.
ج) تعني الحفاظ على السر.
د) تشير إلى الصدق.",أ
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: استكشف الأبعاد الثقافية المرتبطة بمصطلح 'كلجة'.
السؤال: ماذا تعكس كلمة 'كلجة' عن العامية في المجتمع الحجازي؟
الخيارات:
أ) تمسك بالعربية الفصحى
ب) تنوع التعبير باللهجات
ج) انفتاح على ثقافات أخرى
د) تعبير عن الفخر",ب
وشوله,لماذا,Central,"### نوع السؤال: التعريف الثقافي
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: ما هي الدلالة الثقافية لكلمة ""وشوله"" في المجتمع السعودي؟ 
الخيارات: 
A) تعبير عن الفضول والاستفسار 
B) تعبير عن الشجاعة 
C) تعبير عن الاستياء 
D) تعبير عن الفخر",A
