Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: الشيوخ _____ هو أبخص.
الخيارات:
أ) أبخص
ب) جاهل
ج) طموح
د) مغفل",أ
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: يقول الدحمي: '_________ يا الدحمي معك عفريته؟' 
الخيارات:
أ) أويلاوه
ب) مرحبا
ج) اتفضل
د) كيف حالك",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: اكمل الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'أحتريك'، أعني ____ في انتظارك.
الخيارات:
أ) أنت
ب) هو
ج) هي
د) نحن",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم المصطلح 'هذره' للإشارة إلى __________.
الخيارات:
أ) الهدوء
ب) كثرة السواليف والتشكي
ج) الحزن
د) السعادة",ب
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما طلبت من صالح المساعدة، قال لي: '____'.
الخيارات:
أ) لا أستطيع
ب) ازهله
ج) انتظر قليلاً
د) سأقوم بذلك لاحقاً",ب
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما نكون مع الأصدقاء، نحب أن نت __________ مع بعضنا البعض.
الخيارات:
أ) نلعب
ب) نطقطق
ج) ندرس
د) ننام",ب
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عند أهل السراة، يطلق لقب _____ على الشخص ذو العيون الخضراء.
الخيارات:
أ) أبيض
ب) أَبْرَقْ
ج) أسود
د) أحمر",ب
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: _______ تستخدم لجلب الانتباه لجملة تتلو كلمة 'أبكّ'.
الخيارات:
أ) أبكّ
ب) يلا
ج) تعال
د) شو بصير",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: في الجملة تقال بلهجه أهل نجران
«الموضوع ما يستاهل كل هال____» 
يمكن استخدام الكلمة كالتالي:
الخيارات:
A) ضجة
B) هيلمه
C) سرعة
D) أهمية",B
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: إذا حققت النجاح في الاختبار، سأقول لك '____________'.
الخيارات:
أ) جيد
ب) كفو
ج) ضعيف
د) رديء",ب
