Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: حدد المنطقة التي تُستخدم فيها الكلمة بشكل شائع.
السؤال: في أي دولة يُستخدم مصطلح 'أبخص' بشكل رئيسي؟
الخيارات:
أ) عمان
ب) الكويت
ج) المملكة العربية السعودية
د) البحرين",ج
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: تحديد المدينة التي تُستخدم فيها الكلمة بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أويلاوه' بشكل أكثر شيوعاً؟
الخيارات:
أ) القصيم
ب) الرياض
ج) جدة
د) الدمام",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: حدد المدينة التي تستخدم فيها كلمة 'احتريك' بشكل شائع.
السؤال: أي منطقة سعودية تُستخدم فيها كلمة 'احتريك' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) مكة
ج) الدمام
د) أبها",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: حدد المنطقة التي تستخدم فيها كلمة 'هذره' بكثرة.
السؤال: في أي منطقة سعودية يستخدم المصطلح 'هذره' بشكل أكثر شيوعاً؟
الخيارات:
أ) مكة
ب) الرياض
ج) جدة
د) القصيم",ب
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: حدد الدولة التي تُستخدم فيها كلمة 'ازهله' بشكل رئيسي.
السؤال: في أي دولة تُستخدم كلمة 'ازهله' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: حدد الدولة التي يُستخدم فيها المصطلح 'أطقطق' بشكل رئيسي.
السؤال: أي دولة تستخدم المصطلح 'أطقطق' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: حدد الموقع المرتبط بكلمة 'أَبْرَقْ'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أَبْرَقْ' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الطائف",ج
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: حدد المدينة التي عادة ما تستخدم فيها كلمة 'أبكّ'.
السؤال: في أي مدينة سعودية تستخدم كلمة 'أبكّ' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الأحساء",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: حدد الموقع الذي يُستخدم فيه مصطلح ""هيلمه"" بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح ""هيلمه"" بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) نجران
د) الدمام",ج
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: حدد المنطقة التي تُستخدم فيها كلمة 'كفو' بشكل أساسي.
السؤال: في أي دولة تستخدم المصطلح 'كفو' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
الشدوق,الخدود  من الطايف,Western,"المهمة: حدد الموقع الأكثر شيوعاً لاستخدام كلمة 'الشدوق'.
السؤال: أين يُستخدم المصطلح 'الشدوق' بشكل أكثر شيوعاً؟
الخيارات:
أ) مكة
ب) الرياض
ج) الطائف
د) الدمام",ج
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: حدد المنطقة الأكثر استخداماً لكلمة 'عفش'.
السؤال: في أي مدينة سعودية تُستخدم كلمة 'عفش' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الخبر",ب
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: تحديد المكان الأكثر شيوعًا لاستخدام كلمة 'علاسب'.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'علاسب' بشكل شائع؟
الخيارات:
أ) الباحة
ب) الدمام
ج) أبها
د) الرياض",أ
بَكّاش,كذاب,Western,"المهمة: حدد الموقع الأكثر استخدامًا للمصطلح 'بَكّاش'.
السؤال: في أي منطقة من المملكة يُستخدم مصطلح 'بَكّاش' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: حدد أين يُستخدم المصطلح 'كلجة' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'كلجة' أكثر؟
الخيارات:
أ) جدة
ب) الدمام
ج) الرياض
د) أبها",أ
وشوله,لماذا,Central,"### نوع السؤال: التعرف على الموقع
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: في أي منطقة تُستخدم كلمة ""وشوله"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الدمام 
D) الكويت",A
أبي,أريد,Central,"المهمة: حدد المدينة التي تتعلق بها كلمة 'أبي'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أبي' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: حدد أين يُستخدم المصطلح 'أترنو' بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'أترنو' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الدمام
ج) الرياض
د) مكة",أ
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"المهمة: حدد الموقع الجغرافي الذي يتواجد فيه المصطلح 'تفشلنا'.
السؤال: في أي دولة يُستخدم المصطلح 'تفشلنا' بشكل أكثر شيوعاً؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: اختر المنطقة التي تُستخدم فيها كلمة 'أتعيا' بشكل أكبر.
السؤال: في أي منطقة من المملكة العربية السعودية تُستخدم كلمة 'أتعيا' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) عسير
د) الدمام",ج
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: حدد الدولة أو السنة التي تشتهر بالمصطلح 'أتمتة'.
السؤال: أي دولة تعتبر رائدة في أتمتة العمليات؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: تحديد المنطقة الأكثر شيوعًا لاستخدام كلمة 'أتوطى'.
السؤال: في أي منطقة تُستخدم كلمة 'أتوطى' بشكل رئيسي?
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",أ
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: حدد أين يُستخدم المصطلح ""هبشة"" بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم مصطلح ""هبشة"" بشكل أكبر؟
الخيارات:
أ) الرياض
ب) القصيم
ج) الشرقية
د) المدينة",ج
اتشعبط, أتسلق او تمسك,Western,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم مصطلح ""اتشعبط"" بشكل شائع؟
الخيارات:
A) جدة 
B) الرياض 
C) الطائف 
D) القصيم",A
أثم,بمعنى فم الإنسان,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'أثم' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أثم' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
أجغف,ياخذ بشراهة مثل الأكل,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أجغف' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) البحرين
ج) الكويت
د) دبي",أ
فزعة,"مساعدة/وقفة رجولية, مثال: تكفى أبي منك فزعة",General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح 'فزعة' بشكل أكبر.
السؤال: في أي دولة يتم استخدام كلمة 'فزعة' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
توهق,توهق تأتي بمعنى تورط أو أصبح في ورطة وتحير في امره وتطلق عندما يدخل الإنسان في أمر يجهل عواقبه ثم لايستطيع الخروج منه,General,"المهمة: حدد أين يُستخدم المصطلح 'توهق' بشكل أكثر شيوعاً.
السؤال: في أي منطقة تُستخدم كلمة 'توهق' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
أحبچ,"هي مفرده حساويه وتعني أحبكِ ، وتقال للأنثا والجيم الفارسيه "" چ "" تنطق ch",Eastern,"المهمة: حدد أين يستخدم المصطلح 'أحبچ' بشكل شائع.
السؤال: في أي دولة يتم استخدام كلمة 'أحبچ' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الأحساء
د) الطائف",ج
قحم,رجل عجوز باللهجه الجيزانية,Southern,"المهمة: حدد المنطقة الأكثر شيوعاً لاستخدام عبارة 'قحم'.
السؤال: في أي منطقة سعودية تستخدم عبارة 'قحم' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) خميس مشيط",ب
أَحُوقُه,حاق يحوق حوقاً وبمعنى:حرك بشدة أو خلطه,Central,"المهمة: حدد المكان الذي يجري فيه استخدام كلمة 'أَحُوقُه' بشكل شائع.
السؤال: في أي منطقة سعودية يستخدم المصطلح 'أَحُوقُه' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) مكة
ج) القصيم
د) الدمام",أ
أخمد, لطلب من الأخر النوم والراحه,Central,"المهمة: حدد الموقع الذي يتم فيه استخدام كلمة 'أخمد' بشكل متكرر.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'أخمد' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
أدبغك,يعني اضربك وحده على راسك تنهيك في الطايف منتشره,Western,"المهمة: حدد المدينة التي تستخدم فيها الكلمة 'أدبغك' بشكل رئيسي.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'أدبغك' بشكل أكثر شيوعاً؟
الخيارات:
أ) الطائف
ب) الرياض
ج) الدمام
د) الخبر",أ
أدري,بمعنى: أعرف، تأكيد لكلمة تعرف ؟,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'أدري' بصفة رئيسية.
السؤال: في أي منطقة من المملكة يُستخدم المصطلح 'أدري' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
أديلو,أعطيه,Western,"المهمة: حدد الموقع الذي يُستخدم فيه مصطلح 'أديلو' بشكل أساسي.
السؤال: في أي منطقة سعودية يستخدم المصطلح 'أديلو' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) مكة
د) المدينة المنورة",ب
أذاه,مصطلح عند عدةً من قبائل الدواسر وخصوصاً الهوامله أهل الأفلاج,Central,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'أذاه' بشكل رئيسي.
السؤال: في أي منطقة من السعودية يُستخدم المصطلح 'أذاه' بشكل أساسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الأفلاج
د) حائل",ج
أرقع,أرقع بمعنى اصقع,Western,"المهمة: حدد المنطقة التي يستخدم فيها المصطلح 'أرقع' بشكل شائع.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم المصطلح 'أرقع' بشكل رئيسي؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) الدمام",أ
أره,يستخدمهابعض القبائل المجاوره وتعني أنظر وهي اختصار لكملة أراه,Central,"المهمة: حدد المنطقة التي يرتبط بها استخدام كلمة 'أره'.
السؤال: في أي منطقة سعودية غالباً ما يُستخدم المصطلح 'أره'؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) أبها",أ
طبعباز,كلمة من اللهجة القطيفية تعني ألعاب نارية او طراطيع,General,"المهمة: اختر الدولة التي تستخدم فيها كلمة 'طبعباز' بشكل رئيسي.
السؤال: في أي دولة تُستخدم كلمة 'طبعباز' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) قطر",أ
أزريت,تعني عجزت، لم استطع,Northern,"المهمة: حدد المنطقة الأكثر استخدامًا للكلمة
السؤال: في أي منطقة سعودية تستخدم كلمة 'أزريت' بشكل شائع؟
الخيارات:
أ) الرياض
ب) مكة
ج) القصيم
د) حائل",د
أزوغ,التزويغ يمعنى : الهروب من العمل سكاتي أزوغ بمعنى أبزوط أو أفقع من الدوام.,Western,"المهمة: حدد المنطقة أو المدينة التي يرتبط بها هذا المصطلح.
السؤال: أين يُستخدم المصطلح 'أزوغ' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الدمام
ج) المدينة المنورة
د) الرياض",أ
أستقيف,كلمة بمعنى اغرب عن وجهي، و أحيانا تستخدم لرفض طلب أحدهم,Western,"المهمة: التعرف على المنطقة المرتبطة بالكلمة.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أستقيف' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
مفهي,هي حالة من السرحان المفرط,General,"المهمة: اختر الجواب الصحيح فقط بدون أي ملاحظات إضافية. 
السؤال: أين تستخدم كلمة ""مفهي"" بشكل شائع؟ 
الخيارات: 
أ) المملكة العربية السعودية
ب) الكويت
ج) عُمان
د) الإمارات",أ
أستناك,تعني أنتظرك,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'أستناك' بشكل شائع.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم المصطلح 'أستناك' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) الدمام
ج) جدة
د) الخرج",أ
أسفهه,أي تجاهله.,Central,"المهمة: حدد أي منطقة في المملكة تستخدم كلمة 'أسفهه' غالباً.
السؤال: أين يُستخدم المصطلح 'أسفهه' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) القصيم",د
أسْلَتْ,تطلق على من يتساقط سرواله بشكل مستمر نظراً لعدم ارتدائه للحزام أو لصغر خصره مقارنة بالسروال الذي يرتديه وغالبا ما تطلق على الاطفال دون الرابعة.,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أسْلَتْ' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة",أ
أشقح,بمعنى : قفز شيء معين وعدم وضع الرجل عليه.,Western,"المهمة: حدد الموقع الأكثر شيوعاً لاستخدام كلمة 'أشقح'.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'أشقح' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) الطائف",أ
أشقله,تعني ارفعه وقد تعني الرفع بقوة وسرعة أو بمعنى الرفع عموما و تنطق القاف بنطق أهل نجد المعروف.,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'أشقله' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أشقله' بشكل أكبر؟
الخيارات:
أ) أبها
ب) جدة
ج) نجد
د) المدينة المنورة",ج
أشكل,لم يلقي له بالاً - طنش,General,"المهمة: حدد المنطقة التي تُستخدم فيها كلمة 'أشكل' بشكل شائع.
السؤال: في أي دولة تستخدم كلمة 'أشكل' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الإمارات
د) الكويت",أ
أصحى,تعني انتبة او احذر,Western,"المهمة: تحديد المنطقة المرتبطة بكلمة 'أصحى'.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'أصحى' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) خميس مشيط",أ
أطائيط,"تعني الأطفال أو الصغار . وتقال ""أطوطه"" للفتاه المملوحه و ال cute .",General,"المهمة: حدد الموقع الجغرافي الأكثر شيوعاً لاستخدام كلمة 'أطائيط'.
السؤال: في أي دولة يتم استخدام كلمة 'أطائيط' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) اليمن
د) البحرين",أ
أطخم,أطخم = حلو,Western,"المهمة: حدد أين يُستخدم المصطلح 'أطخم' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أطخم' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
أمّا,كلمة تستخدم للتعجب ، بمعنى غير معقول؟ أو لا أصدق.,General,"المهمة: حدد المنطقة التي قد تُستخدم فيها كلمة 'أمّا' بشكل شائع.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'أمّا' بشكل أكثر شيوعًا؟
الخيارات:
أ) البحرين 
ب) الكويت
ج) الإمارات العربية المتحدة
د) المملكة العربية السعودية",د
أفرك,بمعنى : إهرب أو الهروب بسرعة قبل حدوث مصيبة .,Western,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'أفرك' بشكل رئيسي.
السؤال: في أي منطقة بالمملكة يُستخدم المصطلح 'أفرك' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) المنطقة الشرقية
د) المدينة المنورة",أ
أفعص,يهرس او يحطم الشئ دهساً عليه.,Western,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'أفعص' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أفعص' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) الدمام",ب
زودها,بالغ أو تجاوز الحد,General,"المهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية. 
السؤال: أين يُستخدم مصطلح ""زودها"" بشكل رئيسي؟ 
الاختيارات: 
A) السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
أقدع,أقدع بمعنى أحذف,Western,"المهمة: حدد المنطقة التي تُستخدم فيها الكلمة 'أقدع' في اللهجة السعودية بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أقدع' بشكل رئيسي؟
الخيارات:
أ) المدينة المنورة
ب) جدة
ج) الرياض
د) الدمام",ب
أقيّس,أقيّس بمعنى أظن أو أعتقد,Western,"المهمة: حدد المدينة التي يُستخدم فيها مصطلح 'أقيّس' بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'أقيّس' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) القصيم",أ
أَكُد,نقولها لما نطلب من احد إنو يمشط لنا شعرنا أو نمشط شعرنا و هكذا,Western,"المهمة: تحديد المنطقة التي يُستخدم فيها كلمة 'أكُد' بشكل شائع.
السؤال: في أي منطقة في السعودية تُستخدم كلمة 'أكُد' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام",ب
أكفتو,- بمعنى أدٍخل، أدٍخل بسرعة وبخفة,Western,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'أكفتو' بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية يستخدم المصطلح 'أكفتو' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
